league_id,season_id,game_id,team_id,player_id,position,position_id,minutes,goals,own_goals,shots,xg,xg_chain,xg_buildup,assists,xa,key_passes,yellow_cards,red_cards,league,season
1,2025,28779,71,12412,AML,13,90,0,0,0,0.0,0.0799555703997612,0.0,0,0.0799555703997612,1,0,0,EPL,25/26
1,2025,28779,71,8865,FW,15,90,0,0,1,0.0799555703997612,0.14343984425067902,0.0,0,0.06348427385091782,1,0,0,EPL,25/26
1,2025,28779,71,1024,DC,3,90,0,0,0,0.0,0.0799555703997612,0.0799555703997612,0,0.0,0,0,0,EPL,25/26
1,2025,28779,71,5956,AMC,12,90,0,0,0,0.0,0.0799555703997612,0.0799555703997612,0,0.0,0,0,0,EPL,25/26
1,2025,28779,86,9524,FWR,14,78,0,0,2,0.5691022276878357,0.6874323487281799,0.0,0,0.11833012849092484,2,0,0,EPL,25/26
1,2025,28779,86,8150,FW,15,90,0,0,7,0.6037954092025757,0.5713272094726562,0.0,0,0.02660728245973587,1,0,0,EPL,25/26
1,2025,28779,86,8327,MC,9,90,0,0,0,0.0,0.1833983212709427,0.1728520393371582,0,0.010546272620558739,1,0,0,EPL,25/26
1,2025,28779,86,7382,DC,3,90,0,0,0,0.0,0.49275070428848267,0.49275070428848267,0,0.0,0,0,0,EPL,25/26
1,2025,28779,86,76,DC,3,90,0,0,3,0.0428825207054615,0.9825957417488098,0.9623314142227173,0,0.0,0,0,0,EPL,25/26
1,2025,28779,86,6681,FWL,16,90,0,0,3,0.1449374109506607,0.6845976114273071,0.05925820395350456,0,0.5629231333732605,4,0,0,EPL,25/26
1,2025,28779,86,6063,Sub,17,12,0,0,0,0.0,0.06687061488628387,0.06687061488628387,0,0.0,0,0,0,EPL,25/26
1,2025,28779,86,87,MC,9,83,0,0,0,0.0,1.092918038368225,1.092918038368225,0,0.0,0,1,0,EPL,25/26
1,2025,28779,86,652,DR,2,90,0,0,0,0.0,0.16439643502235413,0.15859346091747284,0,0.005802980158478022,1,0,0,EPL,25/26
1,2025,28779,86,11386,Sub,17,7,0,0,0,0.0,0.06687061488628387,0.02660728245973587,0,0.040263328701257706,1,0,0,EPL,25/26
1,2025,28779,86,5552,GK,1,90,0,0,0,0.0,0.04295653477311134,0.04295653477311134,0,0.0,0,0,0,EPL,25/26
1,2025,28779,86,7958,MC,9,90,0,0,0,0.0,0.6281741857528687,0.11833012849092484,0,0.5324622392654419,2,0,0,EPL,25/26
1,2025,28779,86,9512,DL,4,90,0,0,0,0.0,0.42574992775917053,0.4112885892391205,0,0.02965860813856125,2,0,0,EPL,25/26
1,2025,28779,86,9556,Sub,17,1,0,0,1,0.040263328701257706,0.040263328701257706,0.0,0,0.0,0,0,0,EPL,25/26
1,2025,28780,220,11711,GK,1,90,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,EPL,25/26
1,2025,28780,220,11310,Sub,17,6,0,0,1,0.3136118948459625,0.3136118948459625,0.0,0,0.0,0,0,0,EPL,25/26
1,2025,28780,220,10527,DMC,7,70,0,0,1,0.019268060103058815,0.13322719931602478,0.11395914107561111,0,0.033206358551979065,1,0,0,EPL,25/26
1,2025,28780,220,501,Sub,17,20,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,EPL,25/26
1,2025,28780,220,13364,Sub,17,20,0,0,1,0.02465054765343666,0.3382624387741089,0.0,0,0.3136118948459625,1,1,0,EPL,25/26
1,2025,28780,220,13066,Sub,17,20,0,0,0,0.0,0.0,0.0,0,0.0,0,1,0,EPL,25/26
1,2025,28780,220,6937,FW,15,70,0,0,2,0.05543915554881096,0.21610534191131592,0.16066619753837585,0,0.0,0,0,0,EPL,25/26
1,2025,28780,220,489,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,EPL,25/26
1,2025,28780,220,10807,DC,3,90,0,0,0,0.0,0.08075278252363205,0.08075278252363205,0,0.0,0,0,0,EPL,25/26
1,2025,28780,220,10806,AML,13,84,0,0,1,0.08075278252363205,0.22215090692043304,0.1413981318473816,0,0.0,0,1,0,EPL,25/26
1,2025,28780,220,6048,DC,3,90,0,0,1,0.030780566856265068,0.22215090692043304,0.22215090692043304,0,0.0,0,0,0,EPL,25/26
1,2025,28780,220,12758,DR,2,90,0,0,1,0.013008378446102142,0.08075278252363205,0.08075278252363205,0,0.0,0,0,0,EPL,25/26
1,2025,28780,220,13206,AMC,12,89,1,0,1,0.7611688375473022,0.13860969245433807,0.11395914107561111,0,0.13618390262126923,3,0,0,EPL,25/26
1,2025,28780,220,13711,DL,4,90,0,0,0,0.0,0.10298558324575424,0.08075278252363205,0,0.035241179168224335,2,0,0,EPL,25/26
1,2025,28780,220,12759,AMR,11,70,0,0,1,0.1413981318473816,0.22215090692043304,0.08075278252363205,0,0.0,0,0,0,EPL,25/26
1,2025,28780,220,11385,DMC,7,90,0,0,0,0.0,0.15787774324417114,0.15787774324417114,0,0.0,0,0,0,EPL,25/26
1,2025,28780,228,900,Sub,17,23,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,EPL,25/26
1,2025,28780,228,500,AML,13,67,0,0,1,0.01406861376017332,0.24256843328475952,0.0,0,0.22849981486797333,3,0,0,EPL,25/26
1,2025,28780,228,181,GK,1,90,0,0,0,0.0,0.10877964645624161,0.10877964645624161,0,0.0,0,0,0,EPL,25/26
1,2025,28780,228,11728,DL,4,90,0,0,0,0.0,0.10877964645624161,0.10877964645624161,0,0.0,0,1,0,EPL,25/26
1,2025,28780,228,7230,Sub,17,12,0,0,1,0.03846864774823189,0.03846864774823189,0.0,0,0.0,0,0,0,EPL,25/26
1,2025,28780,228,5596,AMR,11,90,0,0,1,0.04193772003054619,0.1478573977947235,0.10591968148946762,0,0.0,0,0,0,EPL,25/26
1,2025,28780,228,6314,DC,3,90,0,0,0,0.0,0.10591968148946762,0.10591968148946762,0,0.0,0,0,0,EPL,25/26
1,2025,28780,228,8489,DC,3,85,0,0,0,0.0,0.1507173627614975,0.1507173627614975,0,0.0,0,0,0,EPL,25/26
1,2025,28780,228,12410,AMC,12,78,0,0,1,0.09185106307268143,0.24256843328475952,0.1366487592458725,0,0.01406861376017332,1,0,0,EPL,25/26
1,2025,28780,228,5973,DR,2,90,0,0,0,0.0,0.09185106307268143,0.09185106307268143,0,0.0,0,0,0,EPL,25/26
1,2025,28780,228,4105,FW,15,67,0,0,2,0.24499468505382538,0.24499468505382538,0.0,0,0.0,0,0,0,EPL,25/26
1,2025,28780,228,10717,Sub,17,23,1,0,1,0.48536622524261475,0.0,0.0,0,0.0,0,1,0,EPL,25/26
1,2025,28780,228,8285,DMC,7,67,0,0,0,0.0,0.056006334722042084,0.056006334722042084,0,0.0,0,0,0,EPL,25/26
1,2025,28780,228,1537,DMC,7,90,0,0,0,0.0,0.08040636777877808,0.04193772003054619,0,0.03846864774823189,1,0,0,EPL,25/26
1,2025,28780,228,6157,Sub,17,5,0,0,0,0.0,0.03846864774823189,0.03846864774823189,0,0.0,0,0,0,EPL,25/26
1,2025,28780,228,6835,Sub,17,23,0,0,0,0.0,0.0,0.0,0,0.0,0,1,0,EPL,25/26
1,2025,28781,77,13717,FWR,14,90,0,0,0,0.0,0.3971294164657593,0.30460771918296814,1,0.09252168238162994,1,0,0,EPL,25/26
1,2025,28781,77,13719,Sub,17,1,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,EPL,25/26
1,2025,28781,77,13715,DC,3,90,1,0,4,0.10792046040296555,0.03667960315942764,0.03667960315942764,0,0.0,0,0,0,EPL,25/26
1,2025,28781,77,13718,FW,15,76,1,0,2,0.12669655680656433,0.3412873148918152,0.0,0,0.30460771918296814,1,0,0,EPL,25/26
1,2025,28781,77,8651,Sub,17,14,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,EPL,25/26
1,2025,28781,77,204,MC,9,90,0,0,0,0.0,0.03667960315942764,0.03667960315942764,0,0.06308857351541519,2,0,0,EPL,25/26
1,2025,28781,77,9767,MC,9,90,0,0,2,0.3215351402759552,0.3215351402759552,0.0,0,0.0,0,0,0,EPL,25/26
1,2025,28781,77,13714,DC,3,53,0,0,0,0.0,0.30460771918296814,0.30460771918296814,0,0.0,0,0,0,EPL,25/26
1,2025,28781,77,13716,MC,9,90,0,0,0,0.0,0.3412873148918152,0.3412873148918152,0,0.0,0,0,0,EPL,25/26
1,2025,28781,77,8986,Sub,17,37,0,0,0,0.0,0.129201278090477,0.129201278090477,1,0.03667960315942764,1,0,0,EPL,25/26
