player,player_id,market_value,date_of_birth,age,height,nationality,position,team,signed_from,joined,contract_expires,league,season
Keane Lewis-Potter,644401,€25.00m,"Feb 22, 2001",25,1.7,England,Left Midfield,Brentford,,"Jul 12, 2022","Jun 30, 2031",GB1,25/26
Noni Madueke,503987,€50.00m,"Mar 10, 2002",24,1.82,England,Right Winger,Arsenal,,"Jul 18, 2025","Jun 30, 2030",GB1,25/26
Alejandro Garnacho,811779,€40.00m,"Jul 1, 2004",21,1.8,Argentina,Left Winger,Chelsea,,"Aug 30, 2025","Jun 30, 2032",GB1,25/26
Aaron Hickey,591949,€16.00m,"Jun 10, 2002",23,1.85,Scotland,Right-Back,Brentford,,"Jul 9, 2022","Jun 30, 2028",GB1,25/26
Harvey Davies,706815,€500k,"Sep 3, 2003",22,1.9,England,Goalkeeper,Liverpool,,"Jul 1, 2024",-,GB1,25/26
Aaron Wan-Bissaka,477758,€22.00m,"Nov 26, 1997",28,1.83,DR Congo,Right-Back,West Ham,,"Aug 13, 2024","Jun 30, 2031",GB1,25/26
Joe Gomez,256178,€15.00m,"May 23, 1997",28,1.88,England,Centre-Back,Liverpool,,"Jul 1, 2015","Jun 30, 2027",GB1,25/26
Willy Boly,142310,€500k,"Feb 3, 1991",35,1.95,Cote d'Ivoire,Centre-Back,Nott'm Forest,,"Sep 1, 2022","Jun 30, 2026",GB1,25/26
Tolu Arokodare,683571,€22.00m,"Nov 23, 2000",25,1.97,Nigeria,Centre-Forward,Wolves,,"Sep 1, 2025","Jun 30, 2029",GB1,25/26
John McGinn,193116,€15.00m,"Oct 18, 1994",31,1.78,Scotland,Central Midfield,Aston Villa,,"Aug 8, 2018","Jun 30, 2028",GB1,25/26
Tim Iroegbunam,696589,€15.00m,"Jun 30, 2003",22,1.83,England,Central Midfield,Everton,,"Jul 1, 2024","Jun 30, 2027",GB1,25/26
Konstantinos Mavropanos,415912,€15.00m,"Dec 11, 1997",28,1.94,Greece,Centre-Back,West Ham,,"Aug 22, 2023","Jun 30, 2028",GB1,25/26
Freddie Potts,698164,€10.00m,"Sep 12, 2003",22,1.83,England,Defensive Midfield,West Ham,,"Jul 1, 2025","Jun 30, 2029",GB1,25/26
Iliman Ndiaye,623570,€50.00m,"Mar 6, 2000",26,1.8,Senegal,Right Winger,Everton,,"Jul 3, 2024","Jun 30, 2029",GB1,25/26
Santiago Bueno,438001,€10.00m,"Nov 9, 1998",27,1.9,Uruguay,Centre-Back,Wolves,,"Aug 31, 2023","Jun 30, 2028",GB1,25/26
Adam Aznou,938146,€7.00m,"Jun 2, 2006",19,1.78,Morocco,Left-Back,Everton,,"Jul 29, 2025","Jun 30, 2029",GB1,25/26
Abdoullah Ba,654412,€2.00m,"Jul 31, 2003",22,1.8,France,Right Midfield,Sunderland,,"Aug 31, 2022","Jun 30, 2027",GB1,25/26
