player,team,goals,xG,assists,xA,shots,key_passes,xGChain,xGBuildup,league,season
Abderrahmane Rebbach,Alaves,1,2.9569592121988535,4,4.949423234909773,34,30,6.177632927894592,2.1951087564229965,La_liga,25/26
Aitor Mañas,Alaves,0,1.0849704146385193,0,0.03065093606710434,2,2,0.8037964031100273,0.2583816945552826,La_liga,25/26
Ander Guevara,Alaves,1,0.6449843011796474,1,0.8938102275133133,5,6,2.7921956814825535,1.921984908170998,La_liga,25/26
Antonio Blanco,Alaves,2,1.2193963313475251,3,1.585560267791152,40,22,10.952894285321236,9.485621688887477,La_liga,25/26
Antonio Martínez,Alaves,14,12.836471602320671,3,3.8200031016021967,93,24,15.361863365396857,3.4809861443936825,La_liga,25/26
Antonio Sivera,Alaves,0,0.0,0,0.0,0,0,3.3321731872856617,3.3321731872856617,La_liga,25/26
Calebe,Alaves,0,0.14146154932677746,0,0.45056361611932516,5,12,3.171772821806371,2.6320650037378073,La_liga,25/26
Carles Aleñá,Alaves,0,2.2455996740609407,4,4.067961330525577,29,37,7.837335070595145,3.8911409117281437,La_liga,25/26
Carlos Ballestero,Alaves,0,0.0,0,0.0,0,0,0.0,0.0,La_liga,25/26
Carlos Benavídez,Alaves,0,0.22582579404115677,0,0.10448137670755386,3,3,0.9414566792547703,0.6960180234164,La_liga,25/26
Carlos Vicente,Alaves,5,3.714753158390522,0,3.8571879733353853,12,26,5.572600442916155,1.6297904159873724,La_liga,25/26
Denis Suárez,Alaves,1,1.503220658749342,2,1.729144150391221,9,24,7.904554916545749,5.969972092658281,La_liga,25/26
Diego Morcillo,Alaves,0,0.5672497153282166,0,0.0,1,0,0.6797209978103638,0.11247126758098602,La_liga,25/26
Facundo Garcés,Alaves,0,0.61756222974509,0,0.0,8,0,0.7101098354905844,0.6371504832059145,La_liga,25/26
Ibrahim Diabate,Alaves,2,2.7270304802805185,0,0.14799773506820202,15,2,3.0350424721837044,0.7203780803829432,La_liga,25/26
Jon Guridi,Alaves,0,1.620393067598343,0,0.5416145175695419,15,11,5.297916954383254,3.662469517439604,La_liga,25/26
Jon Pacheco Dozagarat,Alaves,0,0.24303779192268848,0,0.7593822702765465,4,5,1.9814191441982985,1.834160102531314,La_liga,25/26
Jonny,Alaves,0,0.8803313318639994,0,1.2115384247153997,9,17,11.327970540151,9.65009731054306,La_liga,25/26
Lander Pinillos,Alaves,0,0.0,0,0.0,0,0,0.0,0.0,La_liga,25/26
Lucas Boyé,Alaves,11,11.103807976469398,1,2.709607819095254,63,28,12.193470728583634,3.775087649933994,La_liga,25/26
Mariano,Alaves,0,0.24978233128786087,0,0.7592702507972717,6,2,1.028148341923952,0.019095754250884056,La_liga,25/26
Moussa Diarra,Alaves,0,0.0,0,0.015075083822011948,0,1,0.06127706915140152,0.06127706915140152,La_liga,25/26
Nahuel Tenaglia,Alaves,2,1.7934001060202718,0,0.4346905034035444,24,8,6.442133508622646,6.039068607613444,La_liga,25/26
Pablo Ibáñez,Alaves,1,3.9255813509225845,1,1.288511484861374,47,19,7.198592909611762,4.9182582553476095,La_liga,25/26
