league_id,season_id,team,team_code,xg,xg_against,np_xg,np_xg_against,ppda,oppda,deep,odc,xp,league,season
4,2025,Alaves,ALA,53.576109,52.97264,48.373158,49.256252,11.161385364793704,9.189744841800072,168,230,52.583,La_liga,25/26
4,2025,Athletic Club,ATH,55.653369,47.122398,51.19382,42.4219911,10.510222623679216,11.807720615387874,258,152,56.9007,La_liga,25/26
4,2025,Atletico Madrid,ATL,68.105439,53.138565,65.132349,48.678897,11.67579208929748,17.267867017158363,351,199,61.8281,La_liga,25/26
4,2025,Barcelona,BAR,99.667925,50.710138,92.235163,46.993741,7.3137156420740785,18.57489621346373,438,160,79.0609,La_liga,25/26
4,2025,Celta Vigo,CEL,51.991857,56.3444721,46.045642,48.0595621,14.510581273373026,14.000154101648103,263,238,51.3689,La_liga,25/26
4,2025,Elche,ELC,48.165307,68.9271509,44.4490381,63.7241969,8.557274617394407,11.467948666984189,206,236,41.6701,La_liga,25/26
4,2025,Espanyol,ESP,52.380573,62.670768,48.664304,58.954368,13.126416367211348,9.703613737933352,171,235,44.1313,La_liga,25/26
4,2025,Getafe,GET,33.9627569,48.312659,30.9782609,45.339537,11.512524688471052,6.111369497793024,109,177,42.9512,La_liga,25/26
4,2025,Girona,GIR,52.132348,65.82324,46.18612,61.363576,15.099072987065943,10.808519636919602,233,285,45.1082,La_liga,25/26
4,2025,Levante,LEV,59.601811,66.651365,55.007405,63.582705,13.72111149907105,10.074639047125984,208,295,47.788,La_liga,25/26
4,2025,Mallorca,MAL,47.5117721,65.845922,42.0680921,59.873953,13.226640210388156,12.363035490821698,154,264,39.7851,La_liga,25/26
4,2025,Osasuna,OSA,51.463089,51.639958,45.516868,44.950462,13.195184418070868,11.318685020778451,192,248,53.3607,La_liga,25/26
4,2025,Rayo Vallecano,RVL,59.976055,56.34395,57.002933,50.386464,8.865585026611614,12.61687102468504,185,238,55.8956,La_liga,25/26
4,2025,Real Betis,BET,61.297745,50.321923,59.067918,45.118984,15.743586074272311,13.665093697887675,262,219,59.9613,La_liga,25/26
4,2025,Real Madrid,RMA,81.485508,44.98583,70.966896,42.01285,11.380770060106167,16.915965787308497,381,219,75.9341,La_liga,25/26
4,2025,Real Oviedo,OVI,41.499768,67.743209,39.26993,62.5404,13.685807198541903,10.41902047709534,147,297,36.0795,La_liga,25/26
4,2025,Real Sociedad,SOC,59.69832,60.536733,53.008944,56.820331,9.848472286879405,13.753364443454316,229,247,54.608,La_liga,25/26
4,2025,Sevilla,SEV,39.647959,61.323829,35.092745,53.147768,9.617935877180493,11.121424179917364,201,206,37.8838,La_liga,25/26
4,2025,Valencia,VAL,53.954595,55.530233,47.265098,49.471315,13.207327263211136,10.119115450045053,189,226,53.5428,La_liga,25/26
4,2025,Villarreal,VIL,68.839659,53.666982,62.893443,47.720774,16.37660889210659,11.036965511592228,289,263,63.2759,La_liga,25/26
5,2025,Angers,ANG,33.456325,60.270813,29.655846,55.710224,19.981368946829463,10.98620412488886,127,245,30.3611,Ligue_1,25/26
5,2025,Auxerre,AUX,40.336862,50.048906,36.536368,46.248449,14.626818085680512,8.61250335088933,146,215,40.6029,Ligue_1,25/26
5,2025,Brest,BRE,46.381287,56.240166,40.300528,52.439775,12.151276895852762,12.410092885296343,159,230,42.514,Ligue_1,25/26
5,2025,Le Havre,LHV,38.690833,55.730771,34.007055,49.649998,11.755364024114938,10.06447499138137,130,260,38.5762,Ligue_1,25/26
5,2025,Lens,LEN,74.356444,42.957344,70.555958,38.106322,11.395562437405983,12.76881453984245,296,193,65.4125,Ligue_1,25/26
5,2025,Lille,LIL,57.194052,38.611802,51.113291,35.340669,11.112258194430256,15.250741359376752,320,136,57.319,Ligue_1,25/26
5,2025,Lorient,LOR,49.105121,52.8729592,43.629853,48.3123892,20.33196658477368,11.877049610375767,168,217,43.1884,Ligue_1,25/26
5,2025,Lyon,LYO,55.163634,47.97795,51.363164,44.05727,14.02610164606417,15.53023853563515,251,174,52.8131,Ligue_1,25/26
5,2025,Marseille,MAR,69.446291,49.663927,63.365537,45.1006,10.803782549098868,21.05337763567925,267,185,59.1606,Ligue_1,25/26
5,2025,Metz,MET,33.5806656,65.038323,29.0200856,58.957553,18.90246668523584,13.597381092753418,111,308,28.1337,Ligue_1,25/26
5,2025,Monaco,MON,61.40959,51.210354,55.95392,47.409876,8.599924544581096,14.719959453074535,295,260,53.2811,Ligue_1,25/26
5,2025,Nantes,NAN,37.82232,52.753943,34.62669,48.953515,16.23300019320101,8.856254798209891,149,205,35.4541,Ligue_1,25/26
5,2025,Nice,NIC,46.790083,60.749104,44.509801,53.148152,16.569939090758908,11.439426661754943,188,255,38.6281,Ligue_1,25/26
5,2025,Paris FC,PAR,49.709044,56.593674,45.072387,47.472553,15.76892820528429,14.537921198233146,193,216,43.1223,Ligue_1,25/26
5,2025,Paris Saint Germain,PSG,75.638025,33.6044376,69.557256,30.5640626,8.465186709089735,27.83887530565748,401,145,73.319,Ligue_1,25/26
5,2025,Rennes,REN,54.4674302,60.218833,49.9069922,55.658251,11.87879250620658,13.228272926627744,218,224,44.6225,Ligue_1,25/26
5,2025,Strasbourg,STR,56.7680472,47.742129,51.4473812,43.941637,12.134814445500544,14.833952723576772,224,187,51.7795,Ligue_1,25/26
5,2025,Toulouse,TOU,46.28862,44.3192382,40.967955,40.5187722,14.235839295849225,11.057403336276302,210,198,48.2125,Ligue_1,25/26
2,2025,AC Milan,MIL,64.810227,46.11923,57.958523,40.028834,15.99336572469974,16.3705142513841,293,202,64.4636,Serie_A,25/26
2,2025,Atalanta,ATA,68.646032,51.698149,66.362132,48.536669,11.628830453866852,15.103490672073786,355,236,64.1825,Serie_A,25/26
2,2025,Bologna,BOL,50.0441,50.9075397,44.715008,47.8623457,10.62707898563406,12.900847475338212,200,180,52.3905,Serie_A,25/26
2,2025,Cagliari,CAG,43.729117,60.359659,42.206517,58.837059,16.49512544521827,10.825655381071208,137,231,42.0542,Serie_A,25/26
2,2025,Como,COM,67.974851,39.54103,61.877522,34.973232,8.336904847951576,17.02599895318048,242,145,68.8054,Serie_A,25/26
2,2025,Cremonese,CRE,37.487589,66.507091,34.442396,61.804326,14.833276443908762,11.628567126997437,107,264,36.4358,Serie_A,25/26
2,2025,Fiorentina,FIO,52.173659,57.464868,47.605871,52.897092,13.773289491276174,11.987958906916177,191,238,48.38,Serie_A,25/26
2,2025,Genoa,GEN,48.131322,55.7042493,41.279636,50.3751543,11.06658674204065,10.82789889910195,148,237,46.2936,Serie_A,25/26
2,2025,Inter,INT,87.050385,35.846874,82.482594,32.801683,10.150722858329155,18.898819297634272,447,127,82.6907,Serie_A,25/26
2,2025,Juventus,JUV,74.158344,36.119729,70.216874,33.83583,11.518693519202657,18.27995087906268,386,173,75.50399999999999,Serie_A,25/26
2,2025,Lazio,LAZ,46.176585,48.997367,42.244728,45.190872,17.9258601302026,14.274284849155157,172,210,48.2391,Serie_A,25/26
2,2025,Lecce,LEC,37.230925,64.799693,35.708329,60.231896,12.915674277953173,8.186225467420181,130,272,36.0476,Serie_A,25/26
2,2025,Napoli,NAP,57.761384,41.629633,53.954899,33.884349,13.15526349394719,19.350691376138887,263,148,63.4555,Serie_A,25/26
2,2025,Parma Calcio 1913,PAR,36.1518233,61.804587,34.6292233,57.2367981,15.853068381116032,10.739633709787668,138,304,37.6402,Serie_A,25/26
2,2025,Pisa,PIS,42.1609707,66.4579573,36.8318697,61.8901653,15.118278507897186,10.346679395067232,163,295,39.1066,Serie_A,25/26
2,2025,Roma,ROM,62.628621,42.588063,57.299531,41.826773,8.908439498977023,14.28012080891578,320,172,66.6421,Serie_A,25/26
2,2025,Sassuolo,SAS,48.024261,61.069304,44.650886,56.501506,17.18186754982091,11.70494035111686,209,274,46.4422,Serie_A,25/26
2,2025,Torino,TOR,51.551068,60.360917,46.105695,57.315719,15.18572604831813,12.335114031362076,167,261,47.4207,Serie_A,25/26
2,2025,Udinese,UDI,47.286857,57.019825,43.480382,51.690728,12.779809233973284,10.73039182106292,196,202,46.526,Serie_A,25/26
2,2025,Verona,VER,37.3942803,55.576636,35.1103814,51.441966,12.759401342240816,10.409479323787185,152,245,40.9791,Serie_A,25/26
