player_name,team_name,appearances,minutesPlayed,goals,expectedGoals,shotsOnTarget,totalShots,bigChancesMissed,bigChancesCreated,goalConversionPercentage,headedGoals,shotsFromInsideTheBox,assists,expectedAssists,keyPasses,totalPasses,accuratePasses,accuratePassesPercentage,accurateLongBalls,accurateLongBallsPercentage,accurateCrosses,accurateCrossesPercentage,totalCross,accurateFinalThirdPasses,passToAssist,successfulDribbles,successfulDribblesPercentage,totalContest,touches,dispossessed,possessionLost,possessionWonAttThird,wasFouled,ballRecovery,offsides,tackles,tacklesWon,interceptions,blockedShots,clearances,outfielderBlocks,errorLeadToGoal,errorLeadToShot,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,dribbledPast,duelLost,fouls,yellowCards,redCards,penaltyConceded,penaltyWon,saves,goalsPrevented,cleanSheet,goalsConceded,penaltySave,penaltyFaced,highClaims,runsOut,successfulRunsOut,punches,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,crossesNotClaimed,penaltiesTaken,penaltyGoals,rating,league,accumulation,season
Ezechiel Banzuzi,RB Leipzig,3.62,90,0.0,0.21,0.6,2.26,0.3,0.0,0.0,0.0,1.21,0.15,0.06,1.06,42.96,36.48,84.91,1.81,70.59,0.0,0.0,0.75,11.61,0.0,0.3,66.67,0.45,62.26,0.9,9.95,0.15,1.06,5.43,0.0,2.26,1.51,1.21,1.06,4.97,0.45,0.0,0.15,3.62,51.06,3.77,54.35,0.3,6.63,2.11,0.45,0.0,0.0,0.0,0.0,,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,Germany Bundesliga,per90,25/26
William Bøving,1. FSV Mainz 05,3.57,90,0.0,0.01,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.4,0.21,1.59,24.58,18.24,74.19,1.19,50.0,1.59,50.0,3.17,5.55,0.0,0.4,25.0,1.59,45.99,0.4,12.69,0.79,0.79,5.55,0.0,2.38,0.79,0.79,0.0,2.78,0.4,0.0,0.0,3.57,56.25,0.79,28.57,0.4,4.76,0.79,0.4,0.0,0.0,0.0,0.0,,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,Germany Bundesliga,per90,25/26
Bruno Ogbus,SC Freiburg,1.37,90,0.0,0.03,0.15,0.38,0.15,0.0,0.0,0.0,0.15,0.0,0.02,0.08,46.97,43.03,91.6,1.06,46.67,0.08,33.33,0.23,3.87,0.0,0.23,20.0,1.14,65.41,0.76,7.36,0.15,0.83,3.72,0.0,1.75,1.29,0.83,0.08,5.77,1.37,0.08,0.15,2.73,55.38,1.75,44.23,0.15,4.4,0.38,0.08,0.0,0.0,0.0,0.0,,0.08,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,Germany Bundesliga,per90,25/26
Ilyas Ansah,1. FC Union Berlin,1.56,90,0.24,0.15,0.57,1.56,0.19,0.05,15.15,0.05,0.9,0.05,0.05,0.75,14.1,10.56,74.92,0.24,38.46,0.19,21.05,0.9,4.81,0.0,1.18,34.72,3.39,37.39,2.97,14.8,0.71,2.03,3.68,0.42,0.8,0.47,0.24,0.38,0.8,0.14,0.0,0.05,3.96,36.68,0.8,24.29,0.66,9.33,1.04,0.05,0.0,0.0,0.05,0.0,,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,Germany Bundesliga,per90,25/26
Salih Özcan,Borussia Dortmund,10.65,90,0.0,0.1,0.0,0.97,0.0,0.0,0.0,0.0,0.97,0.0,0.25,1.94,90.0,81.29,90.32,0.97,100.0,0.0,0.0,1.94,34.84,0.0,0.0,0.0,0.97,102.58,0.0,12.58,0.0,0.97,7.74,0.0,1.94,1.94,0.0,0.97,0.97,0.97,0.0,0.0,2.9,60.0,4.84,83.33,0.0,2.9,0.97,0.0,0.0,0.0,0.0,0.0,,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,Germany Bundesliga,per90,25/26
Yannick Gerhardt,VfL Wolfsburg,1.6,90,0.08,0.08,0.08,0.93,0.0,0.08,9.09,0.08,0.76,0.0,0.08,0.67,39.15,32.08,81.94,0.84,45.45,0.08,14.29,0.59,5.72,0.0,0.08,12.5,0.67,54.56,0.67,10.36,0.0,1.18,3.87,0.0,1.18,0.34,0.76,0.34,2.86,0.76,0.0,0.0,2.44,42.65,1.68,37.74,0.59,6.06,1.68,0.08,0.0,0.0,0.08,0.0,,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,Germany Bundesliga,per90,25/26
Mattias Svanberg,VfL Wolfsburg,2.45,90,0.31,0.3,0.82,2.14,0.31,0.1,14.29,0.1,1.63,0.1,0.07,0.61,23.06,16.33,70.8,0.92,42.86,0.1,12.5,0.82,5.41,0.0,0.31,27.27,1.12,42.24,0.82,11.63,0.31,2.04,3.06,0.1,1.02,0.61,0.92,0.51,2.14,0.41,0.0,0.0,3.37,41.77,1.22,44.44,1.22,6.22,1.84,0.41,0.1,0.0,0.0,0.0,,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,Germany Bundesliga,per90,25/26
Mads Pedersen,FC Augsburg,2.96,90,0.0,0.07,0.0,1.27,0.0,0.0,0.0,0.0,1.27,0.0,0.15,1.27,25.77,19.86,77.05,0.85,66.67,0.85,18.18,4.65,7.18,0.0,0.0,0.0,2.11,62.11,2.11,17.75,0.42,1.27,3.38,0.42,2.11,0.85,0.42,0.85,2.54,0.42,0.0,0.0,3.38,34.78,0.0,0.0,0.42,8.87,2.11,0.0,0.0,0.42,0.0,0.0,,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,Germany Bundesliga,per90,25/26
Lovro Majer,VfL Wolfsburg,1.84,90,0.13,0.2,0.46,1.77,0.33,0.26,7.41,0.0,1.18,0.2,0.17,1.44,35.0,28.71,82.02,1.25,57.58,0.46,24.14,1.9,10.16,0.0,0.79,48.0,1.64,51.72,1.31,12.45,0.92,1.38,4.72,0.26,1.7,1.05,0.59,0.46,1.25,0.07,0.0,0.0,3.87,43.38,0.79,36.36,0.98,6.42,1.97,0.33,0.0,0.0,0.0,0.0,,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,Germany Bundesliga,per90,25/26
Elvis Rexhbeçaj,FC Augsburg,2.09,90,0.16,0.04,0.4,0.88,0.0,0.08,18.18,0.08,0.48,0.0,0.09,0.8,32.63,25.23,77.34,0.96,27.27,0.16,11.76,1.37,7.71,0.0,0.4,62.5,0.64,49.42,1.69,12.86,0.8,1.29,4.02,0.08,1.45,0.64,0.4,0.24,1.61,0.08,0.0,0.0,3.13,44.32,0.96,48.0,1.04,4.98,1.04,0.32,0.0,0.08,0.0,0.0,,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,Germany Bundesliga,per90,25/26
