player_name,team_name,appearances,minutesPlayed,goals,expectedGoals,shotsOnTarget,totalShots,bigChancesMissed,bigChancesCreated,goalConversionPercentage,headedGoals,shotsFromInsideTheBox,assists,expectedAssists,keyPasses,totalPasses,accuratePasses,accuratePassesPercentage,accurateLongBalls,accurateLongBallsPercentage,accurateCrosses,accurateCrossesPercentage,totalCross,accurateFinalThirdPasses,passToAssist,successfulDribbles,successfulDribblesPercentage,totalContest,touches,dispossessed,possessionLost,possessionWonAttThird,wasFouled,ballRecovery,offsides,tackles,tacklesWon,interceptions,blockedShots,clearances,outfielderBlocks,errorLeadToGoal,errorLeadToShot,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,dribbledPast,duelLost,fouls,yellowCards,redCards,penaltyConceded,penaltyWon,saves,goalsPrevented,cleanSheet,goalsConceded,penaltySave,penaltyFaced,highClaims,runsOut,successfulRunsOut,punches,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,crossesNotClaimed,penaltiesTaken,penaltyGoals,rating,league,accumulation,season
Youssef Enriquez,Deportivo Alavés,1.67,90,0.0,0.05,0.2,0.73,0.07,0.27,0.0,0.0,0.4,0.07,0.17,1.14,35.75,28.33,79.25,1.74,48.15,1.34,32.79,4.08,6.75,0.07,0.53,34.78,1.54,60.53,0.53,14.57,0.07,0.87,4.34,0.0,1.14,0.73,0.67,0.27,2.47,0.07,0.0,0.07,2.54,40.86,1.07,66.67,0.73,4.21,1.6,0.47,0.0,0.0,0.0,0.0,,0.07,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,Spain La Liga,per90,25/26
Marcão,Sevilla,1.24,90,0.0,0.07,0.19,0.95,0.1,0.0,0.0,0.0,0.95,0.0,0.01,0.0,44.48,38.84,87.34,2.48,44.83,0.0,0.0,0.1,2.96,0.0,0.1,100.0,0.1,58.22,0.0,6.68,0.0,2.0,3.05,0.1,1.24,0.48,0.48,0.38,5.63,0.48,0.1,0.19,3.34,58.33,2.58,52.94,0.48,4.68,2.1,0.19,0.1,0.1,0.0,0.0,,0.19,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,Spain La Liga,per90,25/26
Ilias Akhomach,Rayo Vallecano,2.01,90,0.0,0.19,0.8,2.41,0.4,0.3,0.0,0.0,1.4,0.1,0.09,1.3,25.89,21.77,84.11,0.9,52.94,0.6,19.35,3.11,9.83,0.0,1.4,31.82,4.41,53.18,2.71,16.66,0.6,3.61,3.71,0.1,2.41,1.51,0.2,0.6,0.9,0.2,0.0,0.0,7.42,49.33,0.1,12.5,0.2,8.33,1.81,0.3,0.0,0.0,0.0,0.0,,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,Spain La Liga,per90,25/26
Vladyslav Vanat,Girona FC,1.24,90,0.41,0.39,0.83,1.24,0.41,0.14,33.33,0.0,1.15,0.05,0.06,0.55,12.54,9.78,78.02,0.14,50.0,0.05,20.0,0.23,3.31,0.0,0.41,47.37,0.87,21.08,0.64,6.06,0.28,0.78,1.1,0.92,0.23,0.14,0.14,0.23,0.73,0.05,0.0,0.09,1.42,36.9,0.78,33.33,0.18,3.99,1.29,0.18,0.0,0.0,0.05,0.0,,0.05,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,6.64,Spain La Liga,per90,25/26
Domingos Duarte,Getafe,1.05,90,0.03,0.03,0.12,0.4,0.0,0.03,7.69,0.03,0.4,0.03,0.01,0.06,27.63,21.15,76.53,2.46,42.55,0.0,0.0,0.0,2.43,0.0,0.0,0.0,0.03,40.02,0.15,7.04,0.03,0.74,3.04,0.09,0.95,0.55,1.08,0.03,6.52,0.49,0.0,0.03,1.69,53.92,2.43,58.52,0.31,3.17,0.98,0.37,0.0,0.06,0.0,0.0,,0.28,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,Spain La Liga,per90,25/26
Thiago Fernández,Real Oviedo,1.75,90,0.0,0.06,0.55,1.42,0.0,0.44,0.0,0.0,0.55,0.44,0.26,1.09,27.7,22.34,80.63,0.99,52.94,0.88,27.59,3.18,8.32,0.0,2.19,40.82,5.36,52.01,2.63,17.63,0.33,1.2,4.38,0.22,1.42,0.77,0.55,0.33,0.33,0.0,0.11,0.0,4.82,38.94,0.22,15.38,0.99,8.76,0.77,0.44,0.0,0.0,0.0,0.0,,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,Spain La Liga,per90,25/26
Raúl Moro,Osasuna,2.0,90,0.0,0.03,0.0,0.86,0.0,0.29,0.0,0.0,0.57,0.29,0.16,1.57,23.61,18.03,76.36,0.43,50.0,0.57,13.33,4.29,9.44,0.14,1.72,50.0,3.43,40.49,0.86,14.74,0.57,0.86,3.43,0.72,0.29,0.0,0.14,0.57,1.14,0.0,0.14,0.0,2.86,50.0,0.14,16.67,0.14,3.58,0.14,0.0,0.0,0.0,0.0,0.0,,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,Spain La Liga,per90,25/26
Conor Gallagher,Atlético Madrid,2.57,90,0.27,0.15,0.68,1.76,0.14,0.14,15.38,0.0,1.22,0.0,0.07,0.54,48.59,43.85,90.25,0.81,50.0,0.14,9.09,1.49,12.32,0.0,0.41,18.75,2.17,68.75,1.22,12.18,0.95,1.22,4.74,0.27,2.3,1.62,1.49,0.14,0.68,0.41,0.0,0.0,3.92,38.16,1.35,55.56,1.35,7.44,2.44,0.27,0.0,0.0,0.0,0.0,,0.14,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,Spain La Liga,per90,25/26
Luis Vázquez,Getafe,1.27,90,0.22,0.15,0.67,1.87,0.07,0.0,12.0,0.0,1.64,0.07,0.03,0.37,15.47,8.82,57.0,0.22,60.0,0.0,0.0,0.15,3.89,0.0,0.22,25.0,0.9,30.87,1.35,12.63,0.07,2.39,2.02,1.27,0.37,0.22,0.3,0.37,0.9,0.07,0.0,0.07,2.84,44.71,3.44,44.23,0.22,7.85,1.57,0.15,0.0,0.0,0.15,0.0,,0.15,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,Spain La Liga,per90,25/26
Umar Sadiq,Valencia,2.12,90,0.34,0.3,0.85,2.46,0.51,0.25,13.79,0.25,1.7,0.17,0.13,0.85,15.18,10.35,68.16,0.17,66.67,0.25,50.0,0.51,4.33,0.0,1.27,42.86,2.97,36.81,2.88,14.34,0.59,1.78,2.71,1.27,0.68,0.51,0.08,0.51,0.42,0.08,0.0,0.0,3.56,32.31,2.29,35.53,0.34,11.62,2.71,0.34,0.0,0.0,0.25,0.0,,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,Spain La Liga,per90,25/26
Hugo Duro,Valencia,1.63,90,0.45,0.4,0.63,1.63,0.41,0.09,27.78,0.14,1.63,0.0,0.04,0.77,17.74,12.49,70.41,0.36,72.73,0.0,0.0,0.05,3.44,0.0,0.14,17.65,0.77,30.05,0.54,8.96,0.27,1.72,1.76,0.27,0.72,0.45,0.18,0.27,0.95,0.27,0.0,0.0,2.58,48.72,2.04,31.25,0.68,7.19,1.0,0.23,0.0,0.0,0.05,0.0,,0.05,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,6.64,Spain La Liga,per90,25/26
Jan Virgili,Mallorca,1.55,90,0.1,0.12,0.8,1.6,0.05,0.35,6.25,0.0,0.75,0.2,0.12,1.5,20.3,15.37,75.68,0.35,50.0,0.6,25.53,2.34,6.64,0.0,2.44,44.55,5.49,42.11,1.75,14.87,0.85,1.2,3.39,0.1,0.75,0.5,0.35,0.55,0.45,0.1,0.0,0.0,4.39,40.55,0.7,37.84,0.7,7.58,1.1,0.0,0.05,0.05,0.1,0.0,,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,Spain La Liga,per90,25/26
Fran García,Real Madrid,1.25,90,0.1,0.08,0.19,0.58,0.1,0.0,16.67,0.0,0.29,0.1,0.06,0.48,42.83,38.1,88.96,1.35,56.0,0.58,21.43,2.7,11.29,0.0,0.29,33.33,0.87,65.02,0.77,10.03,0.29,1.35,3.28,0.1,1.83,1.16,0.68,0.1,2.12,0.39,0.0,0.0,3.47,59.02,0.68,35.0,0.48,3.67,0.68,0.0,0.1,0.0,0.0,0.0,,0.19,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64,Spain La Liga,per90,25/26
Cyril Ngonge,Espanyol,1.9,90,0.0,0.1,0.85,2.32,0.21,0.85,0.0,0.0,0.42,0.42,0.2,1.69,25.77,19.23,74.59,1.27,42.86,1.27,23.08,5.49,7.18,0.0,1.06,26.32,4.01,50.92,1.69,18.38,0.42,2.54,4.86,1.06,1.48,0.85,0.85,0.0,0.42,0.0,0.0,0.0,5.07,43.64,1.69,66.67,0.42,7.39,1.9,0.85,0.0,0.0,0.0,0.0,,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,Spain La Liga,per90,25/26
Ismael Bekhoucha,Getafe,3.0,90,0.0,0.02,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.75,0.01,0.75,14.25,9.0,63.16,1.5,50.0,0.75,25.0,3.0,3.75,0.0,1.5,66.67,2.25,41.25,2.25,12.75,0.75,2.25,3.0,0.0,4.5,3.75,1.5,0.75,3.0,0.0,0.0,0.0,8.25,44.0,0.0,0.0,2.25,12.0,5.25,1.5,0.0,0.0,0.0,0.0,,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,Spain La Liga,per90,25/26
Juan Cruz,Osasuna,2.05,90,0.0,0.05,0.0,0.14,0.14,0.0,0.0,0.0,0.14,0.0,0.03,0.27,32.32,28.5,88.19,1.09,36.36,0.27,40.0,0.68,3.68,0.0,0.27,66.67,0.41,44.73,0.14,6.41,0.0,0.27,2.45,0.0,0.55,0.41,0.55,0.0,3.41,0.82,0.0,0.0,1.09,50.0,0.68,50.0,0.27,1.77,0.55,0.27,0.0,0.14,0.0,0.0,,0.27,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,Spain La Liga,per90,25/26
