player_name,team_name,appearances,minutesPlayed,goals,expectedGoals,shotsOnTarget,totalShots,bigChancesMissed,bigChancesCreated,goalConversionPercentage,headedGoals,shotsFromInsideTheBox,assists,expectedAssists,keyPasses,totalPasses,accuratePasses,accuratePassesPercentage,accurateLongBalls,accurateLongBallsPercentage,accurateCrosses,accurateCrossesPercentage,totalCross,accurateFinalThirdPasses,passToAssist,successfulDribbles,successfulDribblesPercentage,totalContest,touches,dispossessed,possessionLost,possessionWonAttThird,wasFouled,ballRecovery,offsides,tackles,tacklesWon,interceptions,blockedShots,clearances,outfielderBlocks,errorLeadToGoal,errorLeadToShot,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,dribbledPast,duelLost,fouls,yellowCards,redCards,penaltyConceded,penaltyWon,saves,goalsPrevented,cleanSheet,goalsConceded,penaltySave,penaltyFaced,highClaims,runsOut,successfulRunsOut,punches,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,crossesNotClaimed,penaltiesTaken,penaltyGoals,rating,league,accumulation,season
Afonso Moreira,Olympique Lyonnais,1.41,90,0.21,0.14,0.73,2.09,0.05,0.52,10.0,0.0,1.31,0.37,0.32,1.72,28.35,22.92,80.85,0.78,44.12,1.72,27.27,6.32,9.45,0.0,1.25,34.29,3.65,55.55,1.83,17.96,0.73,2.98,4.33,0.21,1.72,1.1,0.68,0.47,0.68,0.0,0.0,0.05,5.9,49.13,0.47,22.5,0.57,7.73,1.41,0.16,0.0,0.0,0.05,0.0,,0.31,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06,France Ligue 1,per90,25/26
Maghnes Akliouche,AS Monaco,1.16,90,0.22,0.27,0.71,1.79,0.22,0.3,12.5,0.0,1.08,0.22,0.2,1.64,41.27,35.14,85.16,1.68,77.59,0.45,22.64,1.98,15.01,0.0,0.97,47.27,2.05,59.41,1.42,13.48,1.05,1.34,5.27,0.34,1.46,0.86,0.71,0.49,0.49,0.11,0.04,0.0,3.77,46.54,0.11,13.64,0.97,5.04,1.08,0.11,0.0,0.0,0.04,0.0,,0.11,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,France Ligue 1,per90,25/26
Malick Fofana,Olympique Lyonnais,1.41,90,0.23,0.32,1.06,2.23,0.47,0.35,10.53,0.0,1.88,0.12,0.26,1.17,26.05,21.0,80.63,0.47,40.0,0.94,29.63,3.17,9.15,0.0,0.82,35.0,2.35,43.77,0.59,11.5,0.23,2.58,2.35,0.35,1.29,0.59,0.35,0.94,0.23,0.0,0.0,0.0,4.69,57.14,0.0,0.0,0.23,3.99,1.29,0.12,0.0,0.0,0.0,0.0,,0.35,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04,France Ligue 1,per90,25/26
Esteban Lepaul,Stade Rennais,1.13,90,0.7,0.52,1.3,2.9,0.3,0.1,24.14,0.1,2.4,0.17,0.04,0.77,17.29,13.39,77.46,0.5,55.56,0.13,21.05,0.63,3.73,0.0,0.3,33.33,0.9,26.91,0.5,7.36,0.57,0.53,1.9,0.3,0.23,0.13,0.07,0.63,0.57,0.0,0.0,0.0,1.0,33.33,1.43,44.33,0.27,3.8,0.8,0.1,0.0,0.0,0.0,0.0,,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.1,7.04,France Ligue 1,per90,25/26
Lucas Hernández,Paris Saint-Germain,1.28,90,0.0,0.03,0.15,0.57,0.05,0.05,0.0,0.0,0.41,0.15,0.04,0.77,84.09,77.2,91.81,1.75,44.16,0.1,13.33,0.77,14.91,0.0,0.15,37.5,0.41,102.08,0.31,8.89,0.26,0.98,4.21,0.0,1.28,0.72,0.98,0.15,2.26,0.36,0.0,0.0,2.31,52.94,1.44,66.67,0.41,2.78,1.13,0.21,0.0,0.0,0.05,0.0,,0.46,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04,France Ligue 1,per90,25/26
Branco Van den Boomen,Angers,1.09,90,0.0,0.08,0.36,0.94,0.07,0.22,0.0,0.0,0.14,0.07,0.16,2.03,57.1,50.87,89.09,5.07,72.92,1.45,29.41,4.93,12.83,0.0,0.29,44.44,0.65,71.96,0.36,11.88,0.43,0.65,4.71,0.0,1.96,1.01,0.51,0.22,1.3,0.29,0.0,0.07,2.9,47.06,0.51,41.18,1.3,3.99,1.38,0.22,0.0,0.0,0.0,0.0,,0.22,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,7.04,France Ligue 1,per90,25/26
Frédéric Guilbert,Nantes,1.18,90,0.0,0.06,0.3,1.03,0.15,0.3,0.0,0.0,0.89,0.0,0.04,1.03,26.41,20.21,76.54,1.18,38.1,0.44,17.65,2.51,3.98,0.0,0.74,55.56,1.33,57.25,0.3,14.16,0.0,1.92,4.87,0.0,2.36,1.77,3.1,0.15,4.57,0.74,0.0,0.0,5.02,62.96,1.18,44.44,1.03,4.43,1.03,0.15,0.0,0.0,0.0,0.0,,0.15,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04,France Ligue 1,per90,25/26
Matthieu Udol,RC Lens,1.02,90,0.03,0.14,0.51,1.41,0.21,0.66,2.13,0.0,1.29,0.21,0.27,1.68,38.96,32.52,83.46,1.26,36.21,1.29,37.72,3.42,8.99,0.03,0.45,36.59,1.23,62.43,0.78,12.35,0.45,0.81,3.93,0.06,1.53,0.72,1.53,0.27,1.89,0.24,0.03,0.0,2.79,47.45,1.05,47.95,0.69,4.23,0.9,0.06,0.0,0.0,0.0,0.0,,0.33,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04,France Ligue 1,per90,25/26
Yehvann Diouf,Nice,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.54,18.65,70.29,4.88,39.08,0.0,0.0,0.0,0.31,0.0,0.04,100.0,0.04,38.65,0.04,8.19,0.0,0.15,8.73,0.0,0.0,0.0,0.08,0.0,1.12,0.0,0.0,0.0,0.15,66.67,0.27,70.0,0.04,0.19,0.0,0.04,0.0,0.0,0.0,3.58,0.08,0.19,1.73,0.08,0.27,1.04,0.46,0.42,0.46,2.19,1.35,0.0,0.0,0.0,7.03,France Ligue 1,per90,25/26
Anthony Rouault,Stade Rennais,1.1,90,0.05,0.08,0.16,0.47,0.21,0.0,11.11,0.0,0.47,0.0,0.02,0.31,62.59,55.23,88.24,2.3,44.0,0.0,0.0,0.0,6.68,0.0,0.16,75.0,0.21,77.05,0.26,8.72,0.0,0.42,3.13,0.0,1.31,0.68,0.99,0.16,5.79,1.04,0.05,0.05,1.88,45.57,2.35,57.69,0.63,3.97,1.36,0.26,0.0,0.05,0.0,0.0,,0.37,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,France Ligue 1,per90,25/26
